danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.671,0.882,8,-6.149,0,0.0552,0.00181,0.66700000,0.285,0.787,136.955,audio_features,5XVjNRubJUW0iPhhSWpLCj,spotify:track:5XVjNRubJUW0iPhhSWpLCj,https://api.spotify.com/v1/tracks/5XVjNRubJUW0iPhhSWpLCj,https://api.spotify.com/v1/audio-analysis/5XVjNRubJUW0iPhhSWpLCj,214883,4
0.822,0.969,7,-11.471,0,0.0582,0.259,0.00015300,0.39,0.765,128.007,audio_features,2yAVzRiEQooPEJ9SYx11L3,spotify:track:2yAVzRiEQooPEJ9SYx11L3,https://api.spotify.com/v1/tracks/2yAVzRiEQooPEJ9SYx11L3,https://api.spotify.com/v1/audio-analysis/2yAVzRiEQooPEJ9SYx11L3,283748,4
0.704,0.861,2,-4.221,0,0.0493,0.587,0.06150000,0.0992,0.636,128.99,audio_features,3u5N55tHf7hXATSQrjBh2q,spotify:track:3u5N55tHf7hXATSQrjBh2q,https://api.spotify.com/v1/tracks/3u5N55tHf7hXATSQrjBh2q,https://api.spotify.com/v1/audio-analysis/3u5N55tHf7hXATSQrjBh2q,213394,4
0.798,0.625,11,-9.689,1,0.0548,0.00547,0.00007980,0.103,0.858,93.764,audio_features,6kWJvPfC4DgUpRsXKNa9z9,spotify:track:6kWJvPfC4DgUpRsXKNa9z9,https://api.spotify.com/v1/tracks/6kWJvPfC4DgUpRsXKNa9z9,https://api.spotify.com/v1/audio-analysis/6kWJvPfC4DgUpRsXKNa9z9,211213,4
0.683,0.772,7,-7.907,0,0.0311,0.0222,0.01490000,0.203,0.737,123.871,audio_features,2ahnofp2LbBWDXcJbMaSTu,spotify:track:2ahnofp2LbBWDXcJbMaSTu,https://api.spotify.com/v1/tracks/2ahnofp2LbBWDXcJbMaSTu,https://api.spotify.com/v1/audio-analysis/2ahnofp2LbBWDXcJbMaSTu,270373,4
0.801,0.948,11,-4.623,0,0.0386,0.0117,0.45700000,0.025,0.968,138.489,audio_features,5N6M8yDiMV32T6Rkzh8EbW,spotify:track:5N6M8yDiMV32T6Rkzh8EbW,https://api.spotify.com/v1/tracks/5N6M8yDiMV32T6Rkzh8EbW,https://api.spotify.com/v1/audio-analysis/5N6M8yDiMV32T6Rkzh8EbW,202583,4
0.832,0.838,1,-5.414,0,0.0421,0.0791,0.00000000,0.152,0.965,100.021,audio_features,5fRvePkRGdpn2nKacG7I6d,spotify:track:5fRvePkRGdpn2nKacG7I6d,https://api.spotify.com/v1/tracks/5fRvePkRGdpn2nKacG7I6d,https://api.spotify.com/v1/audio-analysis/5fRvePkRGdpn2nKacG7I6d,218733,4
0.65,0.82,5,-10.9,0,0.0356,0.0662,0.00272000,0.215,0.757,135.982,audio_features,623rRTKwGmgjH6sjE9uWLh,spotify:track:623rRTKwGmgjH6sjE9uWLh,https://api.spotify.com/v1/tracks/623rRTKwGmgjH6sjE9uWLh,https://api.spotify.com/v1/audio-analysis/623rRTKwGmgjH6sjE9uWLh,215973,4
0.808,0.786,4,-6.897,0,0.0447,0.00928,0.07010000,0.0574,0.899,96.987,audio_features,0hrBpAOgrt8RXigk83LLNE,spotify:track:0hrBpAOgrt8RXigk83LLNE,https://api.spotify.com/v1/tracks/0hrBpAOgrt8RXigk83LLNE,https://api.spotify.com/v1/audio-analysis/0hrBpAOgrt8RXigk83LLNE,191240,4
0.729,0.662,5,-7.191,0,0.337,0.00128,0.20800000,0.305,0.359,124.149,audio_features,1mv4lh1rW1K6xhxhJmEezy,spotify:track:1mv4lh1rW1K6xhxhJmEezy,https://api.spotify.com/v1/tracks/1mv4lh1rW1K6xhxhJmEezy,https://api.spotify.com/v1/audio-analysis/1mv4lh1rW1K6xhxhJmEezy,260907,4
